scenario,policy,mean_regret,sd_regret,mean_expected_reward,mean_realized_reward,mean_latency_us,post_change_regret
delay25,Discounted TS,3.0170293956875867,0.2169072282206139,55.69943578326144,54.77257691690061,23.229318019865012,1.3275232715197305
delay25,Discounted greedy,2.8085374996727372,0.2306028713157486,55.907927679276284,54.96617556157271,20.570858458220886,1.337062622612939
delay25,Epsilon greedy,4.020742010442306,0.2568173285020379,54.69572316850672,53.85662668867102,22.43889124387082,1.4086368089258587
delay25,Frozen,7.404934753938911,0.37234897495255975,51.31153042501011,51.13498807231663,2.02813164732005,1.2622143549361842
delay25,Stationary TS,9.054112800139784,0.454780450814267,49.66235237880924,49.15687382386832,22.781339164659453,1.8359773095756218
misspecified,Discounted TS,43.172120841798815,2.4576060635054553,73.5167566646293,72.45189888463213,24.235118684979778,7.161969803187889
misspecified,Discounted greedy,43.2768041443849,2.4710001240715775,73.4120733620432,72.42280860317379,21.71171092454137,7.245746973732411
misspecified,Epsilon greedy,43.507195166436375,2.517983845018741,73.18168233999174,72.65272165046238,23.42240125829078,7.13958773763908
misspecified,Frozen,68.12300958029722,2.203643146802275,48.56586792613089,47.92489122791473,2.085563206088005,9.725333262609773
misspecified,Stationary TS,69.29293454505995,2.2856487001227284,47.39594296136817,46.46699430544414,23.671387522308915,10.381307108855738
shift,Discounted TS,2.5879078555365553,0.23938170145311077,56.128557323412466,55.513716439556795,24.272084187638637,0.8812681083683139
shift,Discounted greedy,2.3379606687194507,0.22764930999253674,56.378504510229575,55.38294988433459,20.781225628323025,0.8816479621304609
shift,Epsilon greedy,3.562204354496963,0.30444615681291687,55.15426082445206,54.16506769765593,22.647970099502277,0.9703921329063544
shift,Frozen,7.404934753938911,0.37234897495255975,51.31153042501011,51.13498807231663,2.0049696699802384,1.2622143549361842
shift,Stationary TS,8.885934070596733,0.44351904291375754,49.83053110835229,49.395819982745955,23.260627867852303,1.799930672051582
stationary,Discounted TS,0.6974799642573488,0.07705877875800729,49.72488914147775,49.573184205795286,24.28491176019802,0.07382488311896158
stationary,Discounted greedy,0.4670524153626181,0.055083334135796615,49.95531669037248,49.62524596655005,21.003533373543714,0.04681556748642139
stationary,Epsilon greedy,1.7441214449563052,0.15835342265517854,48.67824766077879,48.71113397019183,23.464704020793928,0.1807343814789616
stationary,Frozen,0.0,0.0,50.4223691057351,50.520416477467144,2.0090550738300577,0.0
stationary,Stationary TS,0.26686149621274097,0.08753813627008691,50.15550760952236,50.21551635986214,23.608506314404725,0.02003482840806152
