scenario,comparator,n_paired_seeds,mean_delta,lower_95,upper_95
stationary,Frozen,30,0.6974799642573488,0.6687057433780241,0.7262541851366735
stationary,Stationary TS,30,0.43061846804460774,0.3959246071312429,0.4653123289579726
stationary,Discounted greedy,30,0.23042754889473074,0.20561014994464225,0.25524494784481927
stationary,Epsilon greedy,30,-1.0466414806989564,-1.1008726958608739,-0.9924102655370389
shift,Frozen,30,-4.817026898402355,-4.960058561317535,-4.673995235487176
shift,Stationary TS,30,-6.298026215060179,-6.469586972121203,-6.126465457999155
shift,Discounted greedy,30,0.24994718681710493,0.20550906650341452,0.2943853071307953
shift,Epsilon greedy,30,-0.9742964989604076,-1.0609413896919366,-0.8876516082288786
misspecified,Frozen,30,-24.950888738498396,-26.19661000970499,-23.7051674672918
misspecified,Stationary TS,30,-26.120813703261124,-27.388589474116948,-24.8530379324053
misspecified,Discounted greedy,30,-0.10468330258608892,-0.5960477428328375,0.38668113766065965
misspecified,Epsilon greedy,30,-0.33507432463755765,-0.8406839589531678,0.17053530967805258
delay25,Frozen,30,-4.387905358251323,-4.542262857869224,-4.233547858633422
delay25,Stationary TS,30,-6.037083404452198,-6.215384612517945,-5.858782196386451
delay25,Discounted greedy,30,0.20849189601484924,0.136576135668461,0.2804076563612375
delay25,Epsilon greedy,30,-1.003712614754719,-1.0968289269329217,-0.9105963025765165
